unique_id_num,unique_id,date_tagged,tagging_crew,tagger,use,total_length,year,date_detected,time_detected,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,highest_signal,current_fate,current_fate_num,fate_detailed,fate_detailed_num,final_fate_simplified,notes,tagging_section,survey_section,season,season_use,spawning_season,tagging_habitat,life_history,section_most_occupied,homerange,cumulative_distance_traveled,cumulative_distance_traveled_per_obs,mean_upriver_position,,unique_id_num,unique_id,time_detected
9,10-9,9/24/2018,"BC, HS",,Y,687,2021,1/13/2021, 1:17:17 PM,12,1,left,TRUE,72,18,65.067256,-151.647458,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2020_2021,mainstem,mainstem,Lower,,,,,,9,10-9, 1:17:17 PM
9,10-9,9/24/2018,"BC, HS",,Y,687,2021,1/27/2021, 1:24:32 PM,13,2,right,TRUE,88,40,65.071397,-151.640472,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2020_2021,mainstem,mainstem,Lower,,,,,,9,10-9, 1:24:32 PM
10,10-10,9/24/2018,"BC, HS",,Y,881,2018,9/24/2018,12:00:00 AM,0.1,0,NA,NA,0,0,64.86132,-151.29437,NA,alive,0,dead,1,Mortality,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Lower,,,,,,10,10-10,12:00:00 AM
10,10-10,9/24/2018,"BC, HS",,Y,881,2019,1/27/2019,11:18:06 AM,1,2,wing,FALSE,139,1,64.966216,-150.666998,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,1_winter,Y,2018_2019,mainstem,mainstem,Lower,,,,,,10,10-10,11:18:06 AM
10,10-10,9/24/2018,"BC, HS",,Y,881,2019,2/5/2019, 2:27:58 PM,2,1,belly,FALSE,201,9,64.968923,-150.646832,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,1_winter,N,2018_2019,mainstem,mainstem,Lower,,,,,,10,10-10, 2:27:58 PM
10,10-10,9/24/2018,"BC, HS",,Y,881,2019,4/29/2019,12:00:00 AM,2.5,5,Yukon belly,FALSE,0,0,64.885873,-151.250815,NA,alive,0,dead,1,Mortality,,Lower,Lower,2_spring,Y,,mainstem,mainstem,Lower,,,,,,10,10-10,12:00:00 AM
10,10-10,9/24/2018,"BC, HS",,Y,881,2019,7/26/2019, 4:11:21 PM,4,2,wing,TRUE,68,10,65.01857,-151.565225,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,3_summer,Y,,mainstem,mainstem,Lower,,,,,,10,10-10, 4:11:21 PM
10,10-10,9/24/2018,"BC, HS",,Y,881,2019,12/18/2019, 1:19:39 PM,6,2,belly,TRUE,76,4,65.01489,-151.559472,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,Y,2019_2020,mainstem,mainstem,Lower,,,,,,10,10-10, 1:19:39 PM
10,10-10,9/24/2018,"BC, HS",,Y,881,2020,1/15/2020,11:35:03 AM,7,1,right,TRUE,71,8,65.014011,-151.560893,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,10,10-10,11:35:03 AM
10,10-10,9/24/2018,"BC, HS",,Y,881,2020,2/8/2020,12:47:03 PM,8,2,belly,TRUE,84,7,65.016797,-151.561483,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,10,10-10,12:47:03 PM
10,10-10,9/24/2018,"BC, HS",,Y,881,2020,10/22/2020, 1:10:08 PM,11,1,wing,TRUE,56,1,65.015061,-151.559933,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,4_fall,Y,,mainstem,mainstem,Lower,,,,,,10,10-10, 1:10:08 PM
11,10-11,9/21/2018,"BC, HS",BC,Y,661,2018,9/21/2018,12:00:00 AM,0.1,0,NA,NA,0,0,64.97212,-150.5537,NA,alive,0,dead,1,Mortality,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Lower,,,,,,11,10-11,12:00:00 AM
11,10-11,9/21/2018,"BC, HS",BC,Y,661,2019,1/27/2019,11:22:43 AM,1,2,wing,FALSE,81,2,64.940803,-150.399132,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,1_winter,N,2018_2019,mainstem,mainstem,Lower,,,,,,11,10-11,11:22:43 AM
11,10-11,9/21/2018,"BC, HS",BC,Y,661,2019,2/5/2019, 2:52:54 PM,2,1,belly,FALSE,255,12,64.842159,-150.194103,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,1_winter,Y,2018_2019,mainstem,mainstem,Lower,,,,,,11,10-11, 2:52:54 PM
11,10-11,9/21/2018,"BC, HS",BC,Y,661,2019,7/26/2019, 3:50:32 PM,4,2,belly,FALSE,57,2,64.963601,-150.660695,TRUE,alive,0,dead,1,Mortality,,Lower,Lower,3_summer,Y,,mainstem,mainstem,Lower,,,,,,11,10-11, 3:50:32 PM
11,10-11,9/21/2018,"BC, HS",BC,N,661,2019,10/5/2019,12:00:00 AM,5,5,Yukon belly,TRUE,0,0,64.968548,-150.679333,NA,dead,1,dead,1,Mortality,,Lower,Lower,4_fall,Y,,mainstem,mainstem,Lower,,,,,,11,10-11,12:00:00 AM
11,10-11,9/21/2018,"BC, HS",BC,Y,661,2019,10/17/2019, 2:18:58 PM,5,2,belly,TRUE,71,2,64.96402,-150.692315,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,4_fall,Y,,mainstem,mainstem,Lower,,,,,,11,10-11, 2:18:58 PM
11,10-11,9/21/2018,"BC, HS",BC,Y,661,2019,12/18/2019, 1:04:00 PM,6,2,wing,TRUE,80,7,64.963593,-150.69109,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,Y,2019_2020,mainstem,mainstem,Lower,,,,,,11,10-11, 1:04:00 PM
11,10-11,9/21/2018,"BC, HS",BC,Y,661,2020,1/15/2020,11:14:51 AM,7,1,left,TRUE,81,21,64.964168,-150.657177,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,11,10-11,11:14:51 AM
